                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.517,                 5.0566,                  2.225,                0.00357,                0.18987,                 0.0098,                0.00379,                 2.6326,                 4.1771,                   2.42,                 0.0982,                 0.0002,                 0.0002
                      1,                 3.0757,                 4.5991,                 2.0668,                0.00357,                0.18987,                0.00918,                0.00351,                 2.6565,                 4.1488,                 2.4622,               0.095499,             0.00049859,             0.00049859
                      2,                 3.1902,                 4.5642,                 2.4486,                0.05164,                0.06329,                 0.0104,                0.00483,                 2.5936,                 4.0869,                 2.4331,               0.092795,             0.00079547,             0.00079547
                      3,                 2.9295,                 4.2382,                 2.2281,                0.25206,                0.03797,                0.04265,                0.02203,                 2.5496,                 3.7557,                  2.352,               0.090091,              0.0010907,              0.0010907
                      4,                 3.0117,                 3.9313,                 2.3419,                0.51695,                0.13924,                 0.1891,                0.06443,                  2.518,                 2.9503,                 2.2935,               0.087384,              0.0013842,              0.0013842
                      5,                 2.8528,                 3.2706,                 1.9626,                0.52412,                0.41772,                0.40467,                 0.1226,                 2.3994,                 2.3624,                 2.1907,               0.084676,               0.001676,               0.001676
                      6,                 2.7232,                  2.701,                 1.8518,                0.52329,                0.41772,                0.46533,                0.14971,                 2.3559,                 2.1987,                 2.1786,               0.081966,              0.0019661,              0.0019661
                      7,                 2.5277,                 2.3959,                  1.834,                0.53367,                0.47807,                 0.4759,                0.16609,                 2.3253,                 2.1612,                 2.1386,               0.079254,              0.0022545,              0.0022545
                      8,                 2.3994,                 2.2071,                 1.9979,                0.47417,                0.50633,                0.45912,                0.17086,                 2.2444,                 2.1529,                 2.0837,               0.076541,              0.0025412,              0.0025412
                      9,                  2.438,                 1.9628,                 1.7174,                0.58858,                0.46835,                 0.5257,                0.19958,                 2.1989,                 3.2626,                 2.0894,               0.073826,              0.0028262,              0.0028262
                     10,                 2.3618,                 1.9792,                 1.6395,                0.56276,                0.55696,                0.55697,                0.21457,                 2.2018,                 2.1946,                 1.9893,               0.071109,              0.0031095,              0.0031095
                     11,                 2.3178,                 1.9058,                 1.6843,                0.27717,                0.32911,                0.25705,                 0.1007,                 2.1387,                 2.5823,                 2.0083,               0.068391,              0.0033911,              0.0033911
                     12,                 2.3004,                 2.0261,                 1.5685,                0.53572,                0.56962,                0.51744,                0.20826,                 2.0989,                 2.2872,                 1.9202,               0.065671,               0.003671,               0.003671
