                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4505,                 5.2388,                 2.2082,                0.00262,                0.13924,                0.00194,                0.00075,                 2.6187,                 4.3076,                 2.2941,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.9752,                 4.6163,                 2.0676,                0.00262,                0.13924,                0.00194,                0.00081,                  2.646,                 4.3116,                 2.3218,               0.095499,             0.00049859,             0.00049859
                      2,                 3.1283,                 4.8665,                 2.3635,                0.00286,                 0.1519,                0.00222,                0.00087,                 2.6159,                 4.2199,                 2.3317,               0.092795,             0.00079547,             0.00079547
                      3,                 2.9639,                 4.3276,                 2.1666,                0.00524,                0.27848,                0.00467,                0.00176,                 2.4905,                 3.6656,                  2.234,               0.090091,              0.0010907,              0.0010907
                      4,                  2.788,                 3.5747,                 2.0913,                0.50845,                0.29114,                0.25652,                0.10147,                 2.4173,                 2.6032,                 2.1696,               0.087384,              0.0013842,              0.0013842
                      5,                 2.5911,                 2.4578,                 1.7726,                 0.6611,                0.27848,                0.32907,                0.11559,                 2.3869,                 3.0896,                 2.1756,               0.084676,               0.001676,               0.001676
                      6,                 2.6471,                 2.2099,                 1.7822,                0.50092,                0.40506,                0.41126,                0.16128,                 2.3235,                 2.4621,                 2.1535,               0.081966,              0.0019661,              0.0019661
                      7,                 2.3821,                 2.1152,                 1.7114,                0.63937,                0.37975,                0.46247,                0.17161,                 2.3201,                 2.0575,                 2.1859,               0.079254,              0.0022545,              0.0022545
                      8,                 2.4507,                 2.0798,                 1.9141,                0.57571,                0.48092,                0.51508,                0.19746,                 2.2552,                 1.8278,                 2.1773,               0.076541,              0.0025412,              0.0025412
                      9,                 2.3853,                 1.8629,                 1.6829,                0.57276,                0.49367,                0.52728,                0.21378,                 2.2065,                 2.0885,                 2.1411,               0.073826,              0.0028262,              0.0028262
                     10,                 2.3565,                 1.7542,                 1.5883,                0.52178,                0.46835,                0.46353,                0.18641,                 2.2069,                 1.8543,                 2.0864,               0.071109,              0.0031095,              0.0031095
                     11,                 2.2541,                 1.7373,                 1.6815,                0.43342,                0.46835,                0.35811,                0.14476,                 2.1428,                 1.9481,                 1.9731,               0.068391,              0.0033911,              0.0033911
                     12,                 2.3254,                 1.6987,                 1.6095,                0.45765,                0.60759,                0.48345,                0.19381,                 2.2057,                 2.1322,                 1.9883,               0.065671,               0.003671,               0.003671
                     13,                 2.3058,                 1.7069,                 1.6433,                0.47522,                0.59494,                0.49446,                0.20075,                 2.2056,                 2.1352,                 1.9911,               0.062949,              0.0039492,              0.0039492
                     14,                 2.1579,                 2.1694,                  1.667,                0.52004,                0.51899,                 0.4535,                0.16963,                 2.1829,                 1.9232,                 1.8438,               0.060226,              0.0042258,              0.0042258
                     15,                 2.0082,                 1.5753,                 1.6252,                0.60816,                0.62025,                0.55479,                0.21184,                 2.1604,                 2.3096,                 1.8011,               0.057501,              0.0045006,              0.0045006
                     16,                 2.1048,                 1.8089,                 1.4636,                0.53989,                0.59494,                 0.4606,                0.17295,                  2.214,                 2.3709,                 1.8367,               0.054774,              0.0047737,              0.0047737
                     17,                 2.1094,                 1.5902,                 1.4588,                0.51569,                 0.4557,                0.48206,                0.16777,                 2.2663,                 2.0422,                 1.8972,               0.052045,              0.0050451,              0.0050451
                     18,                 2.2927,                 2.1588,                 1.5501,                0.49144,                0.63291,                0.50505,                0.18098,                 2.1729,                 1.6886,                 1.8573,               0.049315,              0.0053149,              0.0053149
                     19,                 2.1741,                 1.5796,                 1.5141,                0.54944,                0.58228,                0.54738,                0.19452,                 2.1353,                 2.1754,                 1.8372,               0.046583,              0.0055829,              0.0055829
                     20,                 2.0539,                  1.393,                 1.4599,                0.57502,                 0.5443,                0.46523,                0.15985,                 2.2911,                 1.8496,                 1.8963,               0.043849,              0.0058493,              0.0058493
                     21,                 1.9407,                 1.6553,                 1.3757,                0.47785,                0.36709,                0.39673,                0.13115,                 2.2102,                 2.1722,                 1.8907,               0.041114,              0.0061139,              0.0061139
                     22,                 1.9709,                 1.4736,                 1.4067,                0.47988,                0.55696,                0.47259,                0.21529,                 1.9625,                 1.7283,                 1.7699,               0.038377,              0.0063768,              0.0063768
                     23,                 2.0631,                 1.4328,                 1.4261,                0.59341,                0.63291,                0.56897,                 0.2468,                 2.0453,                 1.8659,                 1.7678,               0.035638,              0.0066381,              0.0066381
                     24,                 2.2509,                 2.2822,                 1.3962,                 0.6335,                0.32911,                0.50837,                0.20279,                 2.0667,                 2.2072,                 1.8043,               0.032898,              0.0068976,              0.0068976
                     25,                 1.9554,                 2.1325,                 1.3734,                0.53286,                0.46835,                0.47666,                0.20355,                 1.9154,                  1.782,                 1.7646,               0.030156,              0.0071555,              0.0071555
                     26,                 1.9515,                 1.5744,                 1.2466,                0.46512,                 0.6962,                0.57705,                0.20637,                 2.1315,                 2.6135,                 1.8672,               0.027412,              0.0074117,              0.0074117
                     27,                 2.0067,                 1.4306,                 1.2463,                0.44874,                0.63291,                0.46604,                0.16808,                 2.1483,                 1.7597,                 1.8071,               0.024666,              0.0076661,              0.0076661
                     28,                 1.7438,                 1.8071,                 1.4531,                0.44874,                0.63291,                0.46604,                0.16808,                 2.1483,                 1.7597,                 1.8071,               0.021919,              0.0079189,              0.0079189
                     29,                 2.1435,                 1.7677,                 1.3231,                0.53412,                0.67089,                0.56432,                0.25642,                 1.9169,                 2.1342,                 1.6084,                0.01917,              0.0081699,              0.0081699
                     30,                 2.0741,                 1.5083,                 1.3417,                0.24079,                0.48101,                0.23781,                 0.0907,                 2.1821,                 2.2166,                 1.8688,               0.016419,              0.0084193,              0.0084193
                     31,                 2.0633,                 1.7203,                 1.4042,                0.67204,                0.58228,                0.58745,                0.25117,                 2.0655,                 1.4846,                  1.784,               0.013667,               0.008667,               0.008667
                     32,                   1.95,                  1.784,                 1.3498,                0.67204,                0.58228,                0.58745,                0.25117,                 2.0655,                 1.4846,                  1.784,               0.010913,               0.008913,               0.008913
                     33,                 1.9735,                 1.6992,                 1.3721,                0.56019,                0.46835,                0.45809,                0.19288,                 2.1416,                 2.0723,                 1.8478,              0.0090666,              0.0090666,              0.0090666
                     34,                 1.8587,                 1.3907,                 1.3062,                0.48944,                 0.4005,                0.39588,                 0.1428,                 2.2909,                 2.2365,                 2.1137,              0.0090666,              0.0090666,              0.0090666
