                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5844,                 4.8568,                 1.7749,                0.00241,                0.06329,                0.00224,                0.00056,                 2.9287,                  4.264,                 1.9997,                 0.0982,                 0.0002,                 0.0002
                      1,                 3.1396,                 4.4646,                 1.6803,                0.00192,                0.05063,                0.00154,                 0.0005,                 2.9914,                 4.3001,                 2.0423,               0.095499,             0.00049859,             0.00049859
                      2,                 3.5194,                 4.3021,                 1.9671,                 0.0019,                0.05063,                0.00146,                0.00052,                  3.031,                 4.2882,                   2.09,               0.092795,             0.00079547,             0.00079547
                      3,                 3.4975,                 4.1455,                 2.0209,                0.00733,                0.21519,                0.00488,                0.00151,                 2.9181,                 3.9786,                 2.0461,               0.090091,              0.0010907,              0.0010907
                      4,                 3.1044,                 3.9102,                 2.0261,                0.01449,                0.48101,                 0.0111,                0.00345,                 2.8698,                 3.6096,                 2.0108,               0.087384,              0.0013842,              0.0013842
                      5,                 2.9707,                 3.3003,                 1.7426,                0.35081,                0.07595,                0.09625,                0.02941,                 2.8823,                 3.0084,                  1.979,               0.084676,               0.001676,               0.001676
                      6,                  3.433,                  3.541,                 1.8366,                0.55818,                0.27848,                0.26621,                 0.0864,                 2.6473,                 2.2595,                 1.7838,               0.081966,              0.0019661,              0.0019661
                      7,                   3.18,                 2.6465,                 1.8032,                0.42609,                0.37975,                 0.3287,                0.10259,                 2.5998,                 2.0572,                 1.7181,               0.079254,              0.0022545,              0.0022545
                      8,                 2.8158,                 2.2575,                 1.7035,                0.49704,                0.46835,                 0.3766,                0.13349,                 2.3968,                 2.2305,                 1.6209,               0.076541,              0.0025412,              0.0025412
                      9,                 2.5854,                 1.8248,                 1.5272,                0.52082,                0.48101,                0.42605,                0.15294,                 2.3046,                 2.2663,                 1.5221,               0.073826,              0.0028262,              0.0028262
                     10,                 2.5875,                 2.4183,                 1.4291,                0.44382,                 0.4557,                0.40026,                0.14666,                 2.2201,                 1.7994,                 1.4256,               0.071109,              0.0031095,              0.0031095
                     11,                 2.4318,                   1.57,                 1.3908,                0.52792,                 0.4813,                0.44251,                0.17376,                 2.2175,                 2.8098,                 1.4571,               0.068391,              0.0033911,              0.0033911
                     12,                 2.4848,                 1.6051,                 1.3332,                 0.4965,                0.49367,                0.46573,                0.17599,                 2.1565,                 3.8975,                 1.4349,               0.065671,               0.003671,               0.003671
                     13,                 2.3743,                 1.6372,                 1.2793,                0.46524,                0.48101,                0.50289,                0.17845,                 2.1855,                 1.8144,                 1.4427,               0.062949,              0.0039492,              0.0039492
                     14,                 2.2929,                 1.8444,                 1.4048,                0.53203,                0.54689,                0.47263,                0.20126,                 1.9948,                 3.8528,                 1.3592,               0.060226,              0.0042258,              0.0042258
                     15,                 2.1416,                 1.8845,                 1.3273,                0.47653,                0.48101,                0.45993,                0.17976,                 2.0777,                 1.9859,                 1.3555,               0.057501,              0.0045006,              0.0045006
                     16,                 2.2033,                 1.8082,                  1.247,                0.47308,                0.62025,                 0.4318,                0.16497,                 2.1804,                 2.0104,                 1.4197,               0.054774,              0.0047737,              0.0047737
                     17,                 2.2625,                 1.7316,                 1.2508,                0.32217,                0.51899,                0.33211,                0.11144,                 2.1699,                 2.0201,                 1.3077,               0.052045,              0.0050451,              0.0050451
                     18,                 1.9409,                 1.8119,                 1.3137,                0.46625,                0.60759,                0.46324,                0.17361,                 1.9716,                 2.7826,                 1.3363,               0.049315,              0.0053149,              0.0053149
                     19,                 2.0446,                 2.1219,                 1.1357,                0.48087,                0.55696,                0.43064,                0.17798,                 2.0538,                   1.74,                 1.4504,               0.046583,              0.0055829,              0.0055829
                     20,                 2.3823,                  1.968,                 1.3279,                0.50675,                0.63726,                0.47552,                0.18655,                 2.1286,                 2.1127,                 1.4382,               0.043849,              0.0058493,              0.0058493
                     21,                 2.1191,                 1.5705,                 1.2067,                0.57327,                0.68354,                0.55154,                0.20532,                 2.0145,                 1.4459,                 1.3625,               0.041114,              0.0061139,              0.0061139
                     22,                 2.0797,                 1.3221,                 1.2225,                0.52052,                0.70086,                 0.5237,                0.20059,                 2.0101,                 1.7839,                 1.3828,               0.038377,              0.0063768,              0.0063768
                     23,                 2.0206,                 1.2897,                 1.2333,                0.51259,                0.51899,                0.46261,                0.17353,                 2.0138,                 1.6864,                 1.3797,               0.035638,              0.0066381,              0.0066381
                     24,                 2.5058,                 2.0274,                 1.4548,                0.58982,                0.72152,                0.53952,                0.20651,                  2.074,                 2.1605,                 1.4554,               0.032898,              0.0068976,              0.0068976
                     25,                 2.0819,                 1.3802,                 1.2354,                0.42858,                0.63291,                0.43661,                0.17432,                 2.0729,                 1.5004,                 1.3958,               0.030156,              0.0071555,              0.0071555
                     26,                 2.0763,                 1.4281,                 1.0269,                0.50612,                0.67455,                0.52942,                0.17639,                 2.1762,                 2.7768,                 1.3422,               0.027412,              0.0074117,              0.0074117
                     27,                 2.0449,                 1.5522,                 1.0618,                0.55088,                0.57451,                 0.5359,                0.21073,                 2.1113,                 1.4665,                  1.398,               0.024666,              0.0076661,              0.0076661
                     28,                 1.8847,                 1.5573,                 1.2635,                0.55088,                0.57451,                 0.5359,                0.21073,                 2.1113,                 1.4665,                  1.398,               0.021919,              0.0079189,              0.0079189
                     29,                 2.2934,                 2.1071,                 1.1013,                0.53092,                0.51899,                0.44675,                0.17733,                 2.0624,                 3.1079,                 1.3465,                0.01917,              0.0081699,              0.0081699
                     30,                 1.9947,                 1.4001,                 1.1554,                0.42809,                0.51899,                0.35921,                0.15279,                 1.9658,                 1.6571,                  1.367,               0.016419,              0.0084193,              0.0084193
                     31,                 2.0231,                 1.5407,                 1.1603,                0.53844,                0.41772,                0.41019,                 0.1333,                 2.2183,                 2.4077,                 1.4262,               0.013667,               0.008667,               0.008667
                     32,                 2.1716,                 1.3426,                 1.1625,                0.53844,                0.41772,                0.41019,                 0.1333,                 2.2183,                 2.4077,                 1.4262,               0.010913,               0.008913,               0.008913
                     33,                 2.0233,                 1.1508,                 1.1369,                0.61989,                0.50633,                0.48906,                0.19588,                 2.0805,                 1.6312,                 1.4046,              0.0090666,              0.0090666,              0.0090666
                     34,                 2.0675,                 1.7302,                 1.1431,                0.39312,                0.50021,                0.34778,                0.11063,                 2.3397,                 2.9833,                 1.5652,              0.0090666,              0.0090666,              0.0090666
                     35,                 2.0355,                 1.2662,                  1.093,                0.42119,                0.58228,                0.41911,                0.13863,                 2.2914,                 3.1465,                 1.5779,              0.0090383,              0.0090383,              0.0090383
                     36,                 2.0905,                 1.4366,                 1.1583,                0.42119,                0.58228,                0.41911,                0.13863,                 2.2914,                 3.1465,                 1.5779,                0.00901,                0.00901,                0.00901
                     37,                 2.2492,                 1.4949,                 1.1893,                0.36734,                0.46835,                0.34821,                0.14067,                 2.0414,                 1.7625,                 1.4141,              0.0089817,              0.0089817,              0.0089817
                     38,                 2.1511,                 1.5257,                 1.5548,                0.48667,                0.50406,                0.48391,                0.19479,                 2.0768,                 3.1088,                 1.5174,              0.0089534,              0.0089534,              0.0089534
                     39,                 1.9902,                 1.4007,                 1.0981,                0.43871,                0.40506,                0.31339,                0.12002,                 2.2948,                 1.6518,                 1.5086,              0.0089251,              0.0089251,              0.0089251
                     40,                 1.9974,                 1.6368,                 1.1826,                0.43871,                0.40506,                0.31339,                0.12002,                 2.2948,                 1.6518,                 1.5086,              0.0088969,              0.0088969,              0.0088969
