                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1055,                 4.0842,                 2.2308,                0.00434,                0.19236,                0.00309,                0.00109,                 2.5758,                 3.7306,                 1.8322,                 0.0856,                 0.0016,                 0.0016
                      1,                 2.5026,                 3.4483,                 1.7226,                0.01374,                0.60892,                0.02397,                0.00833,                 2.2761,                 3.3745,                 1.5809,               0.070291,              0.0032907,              0.0032907
                      2,                 2.3484,                 2.6243,                 1.6667,                0.01681,                0.74522,                0.09558,                0.02609,                  2.414,                 3.0257,                 1.5469,               0.054972,              0.0049717,              0.0049717
                      3,                 2.3152,                 2.4346,                 1.5126,                 0.0169,                0.74904,                0.10818,                0.03502,                 2.3576,                 3.0374,                 1.5198,               0.039643,              0.0066431,              0.0066431
                      4,                 2.3195,                 2.4368,                 1.4892,                0.17853,                 0.4535,                0.14793,                0.04658,                 2.2489,                 2.8004,                 1.6179,               0.024305,               0.008305,               0.008305
                      5,                 2.3261,                 2.4498,                 1.5211,                0.37246,                 0.2535,                  0.219,                0.07483,                 2.3775,                 2.5559,                 1.7509,              0.0098586,              0.0098586,              0.0098586
                      6,                 2.2818,                 2.3809,                 1.5042,                0.25198,                0.27643,                0.16582,                0.05554,                 2.2754,                 2.4343,                 1.5912,              0.0098586,              0.0098586,              0.0098586
                      7,                  2.312,                  2.361,                 1.5142,                 0.3156,                0.36433,                0.25237,                 0.0911,                 2.2587,                 2.5313,                 1.6215,              0.0098303,              0.0098303,              0.0098303
                      8,                 2.2963,                 2.2759,                  1.509,                0.29874,                0.37325,                0.23844,                0.08294,                 2.2702,                 2.2037,                 1.6071,               0.009802,               0.009802,               0.009802
                      9,                 2.2536,                 2.2977,                 1.4882,                 0.3373,                 0.3631,                0.26092,                0.09056,                 2.2509,                 2.2209,                 1.6649,              0.0097737,              0.0097737,              0.0097737
                     10,                 2.3171,                 2.2304,                 1.4909,                0.30674,                0.32357,                0.23485,                0.08727,                 2.2465,                 2.2251,                 1.5806,              0.0097454,              0.0097454,              0.0097454
                     11,                 2.2205,                 2.2561,                 1.4845,                0.29788,                0.39363,                0.24223,                0.08425,                 2.2206,                 2.2046,                   1.56,              0.0097171,              0.0097171,              0.0097171
                     12,                 2.1839,                 2.3005,                 1.4373,                0.18502,                0.38089,                0.14326,                0.04798,                 2.2265,                 2.4544,                 1.5749,              0.0096889,              0.0096889,              0.0096889
                     13,                 2.2194,                 2.2477,                 1.4327,                0.25151,                0.40764,                0.21721,                0.07218,                 2.2369,                 2.4362,                 1.5336,              0.0096606,              0.0096606,              0.0096606
                     14,                 2.2265,                  2.158,                 1.4455,                  0.276,                0.39108,                0.22449,                0.07756,                 2.2097,                 2.6637,                 1.5302,              0.0096323,              0.0096323,              0.0096323
                     15,                 2.2628,                 2.1521,                 1.4584,                0.31619,                0.37286,                0.24251,                0.08199,                 2.2978,                 2.1743,                 1.6614,               0.009604,               0.009604,               0.009604
                     16,                 2.1946,                 2.1233,                 1.4485,                 0.3819,                0.40692,                0.31858,                0.11423,                 2.2264,                 2.0535,                 1.5928,              0.0095757,              0.0095757,              0.0095757
                     17,                 2.2095,                 2.1038,                 1.4445,                 0.3731,                0.39873,                0.29519,                0.10643,                 2.2144,                 2.2187,                 1.5909,              0.0095474,              0.0095474,              0.0095474
                     18,                 2.1959,                 2.0915,                 1.4424,                 0.3258,                0.43057,                0.25946,                0.07781,                 2.2831,                 2.2482,                 1.5611,              0.0095191,              0.0095191,              0.0095191
                     19,                 2.2264,                 2.1075,                 1.4406,                0.31922,                 0.3414,                0.22912,                0.07328,                 2.3134,                 2.2501,                 1.6065,              0.0094909,              0.0094909,              0.0094909
                     20,                 2.1996,                 2.0747,                 1.4367,                0.27889,                0.43185,                0.23002,                0.07724,                 2.2203,                 2.1868,                 1.5373,              0.0094626,              0.0094626,              0.0094626
                     21,                 2.2329,                 2.1141,                 1.4338,                0.25034,                0.41019,                0.21035,                0.06977,                 2.2372,                 2.1149,                 1.5556,              0.0094343,              0.0094343,              0.0094343
                     22,                 2.1731,                 2.0885,                  1.448,                0.36264,                0.44069,                0.31123,                0.10641,                 2.2036,                 2.0289,                 1.5482,               0.009406,               0.009406,               0.009406
                     23,                 2.1609,                 2.0718,                 1.4411,                0.35151,                 0.3949,                0.25774,                 0.0804,                 2.3188,                 2.0715,                 1.5876,              0.0093777,              0.0093777,              0.0093777
                     24,                 2.1854,                 2.1333,                 1.4644,                0.30311,                0.45732,                0.26567,                0.10107,                 2.0971,                  2.036,                 1.4709,              0.0093494,              0.0093494,              0.0093494
                     25,                 2.1618,                 2.0213,                 1.4312,                0.31054,                0.41019,                0.25415,                0.08249,                 2.1972,                 2.1436,                 1.5019,              0.0093211,              0.0093211,              0.0093211
                     26,                 2.1534,                 2.0624,                 1.4285,                0.35695,                0.42216,                0.28593,                0.10719,                 2.1451,                 2.0465,                 1.4768,              0.0092929,              0.0092929,              0.0092929
                     27,                 2.1913,                 2.0539,                 1.4343,                0.31504,                0.24586,                0.17404,                0.05917,                 2.2964,                 2.6765,                 1.6862,              0.0092646,              0.0092646,              0.0092646
                     28,                 2.1564,                 2.0738,                 1.4586,                0.34921,                0.41013,                0.29185,                0.08958,                 2.3306,                 2.0962,                 1.6046,              0.0092363,              0.0092363,              0.0092363
                     29,                  2.142,                 2.0174,                 1.4245,                0.28016,                0.37962,                0.22156,                0.07064,                 2.2591,                 2.8052,                 1.5444,               0.009208,               0.009208,               0.009208
                     30,                 2.1153,                  2.058,                 1.4471,                0.35551,                0.41146,                0.28098,                0.09448,                 2.2154,                  2.155,                 1.5538,              0.0091797,              0.0091797,              0.0091797
                     31,                 2.1734,                 1.9863,                 1.4354,                 0.3767,                0.43822,                0.28765,                0.09609,                 2.2288,                 2.0611,                 1.5287,              0.0091514,              0.0091514,              0.0091514
                     32,                  2.134,                 1.9199,                 1.3871,                0.40163,                0.44968,                0.31587,                0.09771,                 2.3062,                 2.1165,                 1.5444,              0.0091231,              0.0091231,              0.0091231
                     33,                 2.1671,                 2.0082,                 1.4266,                0.28386,                0.40598,                 0.2357,                0.07976,                 2.2373,                 2.1319,                 1.5491,              0.0090949,              0.0090949,              0.0090949
                     34,                  2.117,                 1.9813,                 1.3827,                0.33064,                0.44713,                0.27388,                0.08418,                 2.2786,                 2.1029,                 1.5629,              0.0090666,              0.0090666,              0.0090666
                     35,                  2.157,                 2.0088,                  1.414,                 0.3341,                0.44459,                  0.266,                0.07651,                 2.3267,                 2.0976,                 1.5768,              0.0090383,              0.0090383,              0.0090383
                     36,                 2.1498,                 1.9387,                 1.4089,                 0.3881,                0.44841,                0.32687,                0.12081,                 2.1464,                 1.9459,                 1.4882,                0.00901,                0.00901,                0.00901
                     37,                 2.1731,                 2.0048,                 1.3937,                0.30162,                0.40892,                0.24719,                  0.079,                 2.2033,                 2.0537,                  1.521,              0.0089817,              0.0089817,              0.0089817
                     38,                 2.0989,                 2.0076,                 1.4009,                0.37869,                0.38599,                0.28801,                  0.112,                 2.1752,                 1.9662,                 1.5356,              0.0089534,              0.0089534,              0.0089534
                     39,                 2.1187,                 1.9775,                 1.4024,                0.38778,                0.48153,                0.31186,                0.11309,                 2.1402,                 1.9348,                 1.5032,              0.0089251,              0.0089251,              0.0089251
                     40,                 2.0947,                 1.9194,                 1.3869,                0.35547,                 0.4377,                0.29555,                0.09883,                 2.1999,                 1.9727,                 1.5467,              0.0088969,              0.0088969,              0.0088969
                     41,                 2.0986,                 1.9445,                 1.4083,                0.40855,                0.46725,                0.34148,                0.12352,                 2.1894,                 1.8905,                 1.5236,              0.0088686,              0.0088686,              0.0088686
                     42,                 2.1047,                 1.8961,                 1.3728,                0.41341,                0.46752,                0.33093,                0.11647,                 2.1967,                 1.9335,                 1.5398,              0.0088403,              0.0088403,              0.0088403
                     43,                 2.1202,                 1.8802,                 1.4176,                0.34912,                0.42803,                0.29245,                0.10493,                 2.2074,                 1.9521,                 1.5444,               0.008812,               0.008812,               0.008812
                     44,                 2.0423,                 1.9602,                   1.38,                0.36388,                0.41529,                0.27692,                0.09396,                 2.2343,                 2.0056,                 1.5453,              0.0087837,              0.0087837,              0.0087837
                     45,                 2.1028,                 1.9262,                 1.3715,                 0.3656,                0.43057,                0.29973,                0.10459,                 2.1924,                 1.9563,                 1.5007,              0.0087554,              0.0087554,              0.0087554
                     46,                 2.1115,                  1.942,                 1.3727,                0.35368,                 0.4586,                0.30301,                0.10584,                 2.2149,                 1.9326,                 1.5246,              0.0087271,              0.0087271,              0.0087271
                     47,                 2.1397,                 1.8928,                 1.3938,                0.36705,                0.41401,                0.27739,                0.08604,                 2.3303,                 2.0487,                 1.5787,              0.0086989,              0.0086989,              0.0086989
                     48,                 2.0875,                 1.8761,                 1.3745,                0.38799,                 0.3933,                0.30271,                0.10629,                 2.2277,                   1.96,                 1.5026,              0.0086706,              0.0086706,              0.0086706
                     49,                 2.0429,                 1.8646,                 1.3582,                0.32899,                 0.4051,                0.26524,                0.08817,                 2.2406,                 2.0247,                 1.5357,              0.0086423,              0.0086423,              0.0086423
                     50,                 2.0671,                 1.8639,                 1.3955,                0.37877,                0.42675,                0.30086,                0.10329,                 2.2656,                 1.9457,                 1.5473,               0.008614,               0.008614,               0.008614
                     51,                 2.1082,                 2.0206,                 1.4012,                0.26364,                0.38854,                0.20304,                0.06597,                 2.2662,                 2.1441,                 1.5582,              0.0085857,              0.0085857,              0.0085857
                     52,                 2.1096,                 1.9048,                 1.3983,                0.29469,                0.39873,                0.21594,                0.06651,                 2.3054,                 2.3686,                 1.6106,              0.0085574,              0.0085574,              0.0085574
                     53,                 2.0674,                 1.8596,                 1.3851,                0.35395,                0.44841,                0.28339,                0.09808,                   2.23,                 1.9264,                 1.5255,              0.0085291,              0.0085291,              0.0085291
                     54,                 2.0621,                 1.8183,                 1.3443,                0.37367,                0.43015,                0.29571,                0.10942,                  2.191,                 2.0082,                 1.5476,              0.0085009,              0.0085009,              0.0085009
                     55,                 2.0694,                 1.8665,                 1.3867,                0.35642,                0.44305,                0.29178,                0.10137,                 2.2664,                 1.9794,                 1.5927,              0.0084726,              0.0084726,              0.0084726
                     56,                 1.9939,                 1.7757,                 1.3547,                0.37131,                 0.4293,                0.30295,                0.10225,                 2.2689,                 1.9629,                 1.5602,              0.0084443,              0.0084443,              0.0084443
                     57,                 2.0634,                 1.8725,                 1.3738,                 0.3743,                0.40892,                0.28922,                0.09903,                 2.2654,                 2.0213,                 1.5346,               0.008416,               0.008416,               0.008416
                     58,                 2.0646,                 1.8543,                 1.3545,                0.27746,                0.33376,                0.20913,                0.06312,                 2.3744,                 2.2484,                 1.5903,              0.0083877,              0.0083877,              0.0083877
                     59,                 2.0365,                 1.8742,                 1.3601,                0.34855,                0.38854,                0.27543,                0.10005,                  2.211,                 2.0297,                 1.5236,              0.0083594,              0.0083594,              0.0083594
                     60,                 2.0194,                 1.8151,                 1.3798,                0.41267,                0.47134,                0.33442,                0.11337,                 2.2341,                 1.8658,                 1.5423,              0.0083311,              0.0083311,              0.0083311
                     61,                 2.0032,                 1.7561,                   1.32,                0.34793,                0.48025,                0.28715,                0.09883,                 2.2343,                 1.9348,                 1.5426,              0.0083029,              0.0083029,              0.0083029
                     62,                  2.021,                 1.8885,                  1.374,                0.38799,                0.39873,                0.29951,                0.11054,                 2.1854,                 2.0234,                 1.4835,              0.0082746,              0.0082746,              0.0082746
