                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9096,                  4.172,                 1.9183,                0.00245,                0.07595,                0.00219,                 0.0007,                 3.2484,                 3.7742,                 2.0616,                 0.0982,                 0.0002,                 0.0002
                      1,                  3.735,                 3.9911,                 1.7952,                0.00245,                0.07595,                0.00198,                 0.0007,                 3.3108,                 3.7615,                 2.1182,               0.095499,             0.00049859,             0.00049859
                      2,                 3.5617,                  4.012,                 2.0665,                0.00238,                0.07595,                0.00187,                0.00054,                 3.2669,                 3.7503,                 2.0865,               0.092795,             0.00079547,             0.00079547
                      3,                 3.6615,                 3.8963,                 2.0799,                0.00233,                0.07595,                 0.0019,                0.00062,                 2.9554,                 3.6997,                  1.923,               0.090091,              0.0010907,              0.0010907
                      4,                 2.7852,                 3.7214,                 1.8333,                0.00275,                0.08861,                0.00184,                0.00056,                 2.6652,                 3.6224,                 1.8126,               0.087384,              0.0013842,              0.0013842
                      5,                 2.8862,                 3.7845,                 1.6877,                0.00424,                0.13924,                0.00258,                0.00076,                    2.6,                 3.5932,                 1.7006,               0.084676,               0.001676,               0.001676
                      6,                 3.1355,                 3.7047,                 1.6501,                0.00857,                 0.4557,                0.00639,                0.00255,                 2.6087,                 3.5379,                 1.5933,               0.081966,              0.0019661,              0.0019661
                      7,                 2.7834,                 3.5203,                   1.67,                0.00905,                0.48101,                0.00721,                0.00278,                 2.5319,                 3.4755,                 1.5237,               0.079254,              0.0022545,              0.0022545
                      8,                 2.6346,                 3.4756,                 1.5511,                0.01071,                0.56962,                0.01275,                0.00534,                 2.4172,                 3.4091,                 1.5056,               0.076541,              0.0025412,              0.0025412
                      9,                 2.4193,                 3.3828,                 1.3685,                 0.0119,                0.63291,                0.02093,                 0.0069,                 2.3744,                  3.367,                 1.4396,               0.073826,              0.0028262,              0.0028262
                     10,                 2.3914,                 3.3895,                 1.3159,                0.01286,                0.68354,                0.02125,                0.00705,                 2.2274,                 3.3085,                 1.3563,               0.071109,              0.0031095,              0.0031095
                     11,                 2.2869,                 3.2565,                 1.3014,                0.01238,                0.65823,                0.01919,                0.00698,                 2.1614,                  3.271,                 1.3342,               0.068391,              0.0033911,              0.0033911
                     12,                 2.3486,                 2.9705,                 1.2835,                 0.0131,                 0.6962,                0.03099,                0.01157,                 2.0853,                 3.1073,                  1.286,               0.065671,               0.003671,               0.003671
                     13,                 2.4334,                 2.4998,                 1.2831,                0.01405,                0.74684,                0.10769,                0.03915,                 2.2031,                   2.92,                 1.3386,               0.062949,              0.0039492,              0.0039492
                     14,                 2.3618,                 2.3018,                 1.3914,                 0.5773,                0.24051,                0.31596,                0.13802,                 2.2839,                 2.3468,                 1.4515,               0.060226,              0.0042258,              0.0042258
                     15,                 2.1515,                 2.0564,                 1.3027,                0.60108,                 0.3052,                0.35597,                0.13279,                 2.2908,                 2.1823,                 1.4281,               0.057501,              0.0045006,              0.0045006
                     16,                 2.4022,                 2.2013,                 1.2821,                0.49777,                0.26582,                 0.2919,                0.08463,                   2.45,                 2.2994,                 1.6188,               0.054774,              0.0047737,              0.0047737
                     17,                 2.4186,                 1.9912,                 1.3244,                0.89301,                0.17722,                0.39444,                0.17096,                 2.1955,                 2.3626,                 1.4436,               0.052045,              0.0050451,              0.0050451
                     18,                 2.0635,                 2.2918,                  1.328,                0.94773,                0.22957,                0.45741,                 0.1849,                 2.1354,                 2.3015,                 1.3611,               0.049315,              0.0053149,              0.0053149
                     19,                 2.1902,                 1.8101,                 1.1922,                0.84297,                0.18987,                0.37891,                0.16782,                 2.0343,                 2.3688,                 1.2951,               0.046583,              0.0055829,              0.0055829
                     20,                 2.6174,                 2.1494,                 1.3204,                0.66461,                0.30106,                0.41054,                0.16109,                 2.1839,                 2.1662,                 1.4139,               0.043849,              0.0058493,              0.0058493
