                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0933,                 4.7312,                 2.2882,                0.00262,                0.13924,                0.00172,                0.00075,                 2.3892,                 4.3519,                 2.4772,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.8581,                 4.5478,                  2.249,                0.00262,                0.13924,                0.00181,                0.00068,                 2.4714,                 4.3491,                 2.5273,               0.095499,             0.00049859,             0.00049859
                      2,                 2.8913,                 4.5125,                 2.2935,                0.00286,                 0.1519,                0.00222,                 0.0009,                 2.3319,                 4.2521,                 2.4453,               0.092795,             0.00079547,             0.00079547
                      3,                 2.8609,                 4.1939,                 2.2192,                0.00357,                0.18987,                0.00497,                0.00143,                 2.1755,                 4.1045,                 2.3032,               0.090091,              0.0010907,              0.0010907
                      4,                 2.4889,                  4.145,                 2.1357,                0.00405,                0.21519,                0.01303,                0.00353,                 2.0645,                  3.942,                 2.0986,               0.087384,              0.0013842,              0.0013842
                      5,                 2.4183,                 4.0018,                 1.7525,                0.00524,                0.27848,                0.01731,                0.00427,                 2.0417,                  3.851,                 2.0057,               0.084676,               0.001676,               0.001676
                      6,                 2.3166,                 3.8781,                 1.7415,                 0.0069,                0.36709,                0.01878,                0.00613,                  2.024,                 3.7406,                 1.9069,               0.081966,              0.0019661,              0.0019661
                      7,                 2.1906,                 3.7769,                 1.6624,                0.00786,                0.41772,                0.02783,                0.00913,                 2.0397,                 3.7246,                 1.9035,               0.079254,              0.0022545,              0.0022545
                      8,                 2.2665,                 3.6795,                 1.9112,                0.00976,                0.51899,                0.07768,                0.02921,                 1.9972,                 3.6784,                  1.819,               0.076541,              0.0025412,              0.0025412
                      9,                 2.2122,                 3.4154,                  1.581,                0.01024,                 0.5443,                0.12335,                 0.0411,                 1.9872,                 3.6455,                 1.8191,               0.073826,              0.0028262,              0.0028262
                     10,                 2.1462,                 3.2978,                 1.5471,                0.01167,                0.62025,                0.11999,                0.03291,                  1.957,                 3.5845,                 1.7643,               0.071109,              0.0031095,              0.0031095
                     11,                 2.1954,                 2.6896,                 1.6518,                0.01333,                0.70886,                0.23672,                0.09311,                 1.8863,                 3.4999,                 1.7283,               0.068391,              0.0033911,              0.0033911
                     12,                  2.161,                 2.5365,                 1.5604,                0.01143,                0.60759,                0.10208,                0.02867,                 1.9272,                 3.6486,                 1.8615,               0.065671,               0.003671,               0.003671
                     13,                 2.1405,                 2.5146,                 1.5896,                0.01071,                0.56962,                0.10375,                0.03291,                 1.8891,                 3.6572,                 1.8754,               0.062949,              0.0039492,              0.0039492
                     14,                 2.1043,                 2.5509,                 1.6147,                0.01286,                0.68354,                0.19108,                0.06898,                 1.8247,                 3.5107,                 1.7616,               0.060226,              0.0042258,              0.0042258
                     15,                 1.9963,                 2.3433,                 1.5928,                0.01119,                0.59494,                0.13216,                0.06128,                 1.8652,                 3.6154,                 1.8707,               0.057501,              0.0045006,              0.0045006
                     16,                 2.0462,                  2.521,                 1.5217,                0.01214,                0.64557,                0.15668,                0.06605,                  1.896,                 3.4952,                 1.7415,               0.054774,              0.0047737,              0.0047737
                     17,                 1.9756,                 2.2863,                 1.4531,                0.01357,                0.72152,                0.39062,                 0.1392,                  1.897,                 3.2226,                 1.6664,               0.052045,              0.0050451,              0.0050451
                     18,                 2.2232,                  3.123,                  1.581,                0.01286,                0.68354,                 0.2491,                0.10578,                 1.9105,                  3.364,                  1.741,               0.049315,              0.0053149,              0.0053149
                     19,                 2.0628,                 2.3652,                 1.4543,                0.01452,                0.77215,                0.41366,                0.15907,                 1.8942,                 3.0836,                 1.6447,               0.046583,              0.0055829,              0.0055829
                     20,                 2.0542,                 1.9466,                 1.4324,                0.70305,                0.17722,                0.44535,                0.15712,                 1.9711,                 2.8822,                 1.5821,               0.043849,              0.0058493,              0.0058493
                     21,                 2.1336,                   2.53,                 1.5106,                0.79219,                0.13924,                0.45175,                 0.1573,                 1.9925,                 2.8375,                 1.5868,               0.041114,              0.0061139,              0.0061139
                     22,                 1.9869,                 2.1274,                 1.4103,                0.63728,                0.16456,                0.37987,                0.15123,                 1.8286,                 2.7762,                 1.6183,               0.038377,              0.0063768,              0.0063768
                     23,                 1.9013,                  1.988,                 1.3637,                0.62593,                0.10127,                0.35293,                0.14118,                 1.8627,                 2.8879,                 1.6429,               0.035638,              0.0066381,              0.0066381
                     24,                 2.0344,                  2.105,                 1.2887,                0.43592,                0.10777,                0.32477,                0.13891,                 1.7984,                 2.8689,                 1.5987,               0.032898,              0.0068976,              0.0068976
                     25,                 2.1147,                 2.0792,                  1.429,                0.48005,                0.07039,                0.28393,                0.10926,                  1.995,                  2.847,                 1.6886,               0.030156,              0.0071555,              0.0071555
                     26,                 1.9143,                 1.9873,                 1.3132,                0.59596,                0.41081,                0.42113,                0.15345,                 1.9427,                 2.5414,                 1.7892,               0.027412,              0.0074117,              0.0074117
