                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1572,                 5.3333,                 2.3174,                0.00214,                0.11392,                0.00204,                0.00079,                 2.4886,                 4.3936,                 2.5378,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.8922,                 4.9209,                 2.1824,                0.00214,                0.11392,                0.00314,                0.00098,                 2.5136,                 4.3537,                 2.5597,               0.095499,             0.00049859,             0.00049859
                      2,                 3.0444,                  5.138,                 2.5513,                0.00214,                0.11392,                0.00343,                0.00107,                 2.5423,                 4.2573,                 2.5749,               0.092795,             0.00079547,             0.00079547
                      3,                 2.9422,                  4.428,                 2.3006,                 0.0019,                0.10127,                0.00418,                0.00133,                 2.4994,                 3.8518,                 2.5381,               0.090091,              0.0010907,              0.0010907
                      4,                 2.6584,                 3.8939,                 2.3108,                0.65509,                0.12043,                0.12589,                0.03713,                 2.4313,                 3.1837,                 2.4889,               0.087384,              0.0013842,              0.0013842
                      5,                 2.7239,                 2.9199,                 2.0118,                0.30749,                0.25293,                0.20648,                0.06306,                 2.4445,                 2.8545,                 2.4409,               0.084676,               0.001676,               0.001676
                      6,                 2.6373,                 2.4619,                 2.0455,                0.42208,                0.27848,                0.28721,                0.08999,                 2.4538,                 2.5367,                 2.4143,               0.081966,              0.0019661,              0.0019661
                      7,                 2.4513,                 2.3502,                 1.9865,                0.45589,                0.34177,                0.34298,                 0.1079,                 2.4782,                 2.4169,                 2.4437,               0.079254,              0.0022545,              0.0022545
                      8,                 2.5044,                 2.7605,                 2.2477,                0.60265,                0.36709,                0.41464,                0.13264,                 2.4679,                 2.3845,                 2.4552,               0.076541,              0.0025412,              0.0025412
                      9,                 2.4516,                 2.1337,                 1.9207,                0.45555,                0.49783,                0.38799,                 0.1326,                 2.3645,                 2.2369,                 2.3484,               0.073826,              0.0028262,              0.0028262
                     10,                 2.3738,                 2.3471,                 1.7345,                 0.6648,                0.41772,                 0.5283,                0.18829,                 2.3194,                 2.0302,                  2.331,               0.071109,              0.0031095,              0.0031095
                     11,                 2.3281,                 2.0121,                 1.8358,                0.61363,                 0.4557,                0.50784,                 0.1832,                 2.2257,                 2.0386,                 2.2397,               0.068391,              0.0033911,              0.0033911
                     12,                 2.3292,                 1.9269,                 1.7199,                0.53085,                0.44304,                0.52126,                0.19935,                 2.2374,                 2.4231,                 2.2115,               0.065671,               0.003671,               0.003671
                     13,                 2.2342,                 2.0766,                 1.6482,                0.56187,                0.43835,                0.52608,                0.19642,                 2.2447,                  2.402,                  2.219,               0.062949,              0.0039492,              0.0039492
                     14,                 2.1515,                 2.2898,                 1.7123,                0.39036,                0.56962,                0.46307,                0.17379,                 2.2116,                  2.375,                 2.0566,               0.060226,              0.0042258,              0.0042258
                     15,                  2.047,                  2.078,                 1.7334,                0.53432,                0.53165,                  0.519,                 0.2038,                 2.1694,                 1.9242,                 2.1223,               0.057501,              0.0045006,              0.0045006
                     16,                 2.0953,                  1.832,                 1.7884,                0.43935,                0.57537,                 0.4377,                0.16685,                 2.3228,                 1.8741,                 2.2057,               0.054774,              0.0047737,              0.0047737
                     17,                 2.0452,                 2.2822,                 1.6785,                 0.6683,                0.56112,                0.56198,                0.22219,                 2.1615,                  3.069,                 2.1164,               0.052045,              0.0050451,              0.0050451
                     18,                 2.0645,                 2.2202,                 1.6858,                0.46496,                0.51899,                0.46286,                0.18945,                 2.2187,                 1.9603,                 2.1961,               0.049315,              0.0053149,              0.0053149
                     19,                 2.2323,                 1.8666,                  1.859,                0.60353,                0.53959,                  0.524,                0.22854,                 2.0191,                 1.8248,                 2.0259,               0.046583,              0.0055829,              0.0055829
                     20,                 2.0875,                 1.9191,                 1.6213,                0.58725,                0.52231,                 0.4882,                0.18818,                 2.1568,                 2.1829,                  2.115,               0.043849,              0.0058493,              0.0058493
                     21,                 1.9793,                 1.9676,                  1.626,                0.59019,                0.43038,                0.48809,                0.18794,                 2.0698,                  2.055,                 2.0383,               0.041114,              0.0061139,              0.0061139
                     22,                 1.8815,                 1.9898,                 1.5232,                0.55935,                0.48101,                0.48071,                  0.184,                 2.0259,                 2.3408,                 2.0393,               0.038377,              0.0063768,              0.0063768
                     23,                 1.9706,                 1.6514,                 1.6178,                0.49409,                0.44304,                0.42064,                0.17265,                 2.0708,                 1.9583,                 2.0526,               0.035638,              0.0066381,              0.0066381
                     24,                 2.0878,                  2.056,                 1.4511,                0.45079,                0.48101,                0.38986,                0.15959,                 2.0061,                 2.0124,                 2.0461,               0.032898,              0.0068976,              0.0068976
