                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9707,                 4.4685,                 2.4207,                0.26537,                0.19363,                 0.1194,                0.03603,                 2.6457,                 2.8571,                 2.4779,                 0.0856,                 0.0016,                 0.0016
                      1,                 2.6218,                 2.6902,                 2.1218,                0.35876,                0.30828,                0.24771,                 0.0858,                 2.4973,                 2.2346,                 2.2361,               0.070291,              0.0032907,              0.0032907
                      2,                 2.3752,                   2.43,                 1.8444,                0.22763,                0.09386,                0.11492,                0.03737,                 2.2121,                 2.7319,                 1.9367,               0.054972,              0.0049717,              0.0049717
                      3,                 2.1952,                 2.5531,                 1.7822,                0.27923,                0.30191,                0.18171,                0.05782,                 2.2141,                 6.8553,                 2.0604,               0.039643,              0.0066431,              0.0066431
                      4,                 2.1672,                 2.6009,                 1.6882,                0.15211,                0.28025,                0.09941,                0.02789,                 2.1782,                 3.7355,                 1.9738,               0.024305,               0.008305,               0.008305
                      5,                 2.1871,                 2.5984,                  1.754,                0.22444,                0.31975,                0.16696,                0.05298,                 2.2987,                 2.8155,                 1.8969,              0.0098586,              0.0098586,              0.0098586
                      6,                 2.1514,                 2.5333,                 1.7085,                0.22747,                0.39745,                0.16531,                 0.0492,                 2.2161,                  2.539,                 1.9807,              0.0098586,              0.0098586,              0.0098586
                      7,                 2.1929,                 2.3662,                 1.7019,                 0.1757,                0.44204,                0.14243,                0.04629,                 2.2392,                 3.4979,                 1.9418,              0.0098303,              0.0098303,              0.0098303
                      8,                 2.1691,                 2.3558,                 1.6431,                0.16774,                0.32102,                0.11709,                0.04233,                 2.2731,                 3.8311,                 1.9392,               0.009802,               0.009802,               0.009802
                      9,                 2.0971,                 2.3863,                  1.648,                0.32217,                0.24331,                 0.1688,                0.05514,                 2.4137,                 2.5613,                 2.2384,              0.0097737,              0.0097737,              0.0097737
                     10,                 2.1548,                  2.351,                  1.601,                0.18034,                0.17197,                0.09591,                0.02846,                 2.3156,                 4.4375,                 1.8799,              0.0097454,              0.0097454,              0.0097454
                     11,                 2.0426,                 2.2599,                 1.6211,                 0.3155,                0.30701,                0.20191,                0.07383,                 2.1851,                 2.5765,                 1.8627,              0.0097171,              0.0097171,              0.0097171
                     12,                 2.0466,                 2.2854,                 1.5984,                0.34248,                 0.2535,                0.21304,                0.08243,                 2.1653,                  2.762,                 1.9449,              0.0096889,              0.0096889,              0.0096889
                     13,                 2.0527,                 2.2595,                 1.6154,                 0.3626,                0.38471,                0.29355,                0.11062,                 2.1298,                 3.0769,                 1.8363,              0.0096606,              0.0096606,              0.0096606
                     14,                 2.0882,                 2.1748,                 1.5944,                0.27163,                0.32229,                0.20285,                0.07272,                 2.1755,                 4.5288,                 1.8394,              0.0096323,              0.0096323,              0.0096323
                     15,                 2.1121,                 2.1861,                 1.6162,                0.24359,                0.38981,                0.19382,                0.06177,                 2.2269,                 2.4236,                 1.9218,               0.009604,               0.009604,               0.009604
                     16,                 2.0551,                 2.1534,                 1.6205,                  0.404,                0.37834,                0.31671,                0.11716,                 2.1449,                 2.1285,                 1.8326,              0.0095757,              0.0095757,              0.0095757
                     17,                 2.0671,                 2.1181,                 1.6159,                0.36052,                0.43949,                0.29158,                0.10383,                 2.1429,                 2.4398,                 1.8329,              0.0095474,              0.0095474,              0.0095474
                     18,                 2.0398,                 2.1002,                 1.6098,                0.37138,                0.39873,                 0.2945,                0.10313,                 2.1628,                 2.3832,                 1.8389,              0.0095191,              0.0095191,              0.0095191
                     19,                 2.0941,                  2.143,                 1.6326,                0.30307,                    0.4,                0.25497,                0.08187,                 2.2313,                  2.599,                 1.9054,              0.0094909,              0.0094909,              0.0094909
                     20,                 2.0654,                  2.091,                 1.5997,                0.35309,                0.37707,                 0.2661,                0.09164,                 2.1327,                  3.218,                 1.8355,              0.0094626,              0.0094626,              0.0094626
                     21,                 2.0808,                 2.1307,                 1.5977,                0.36382,                0.42691,                0.31948,                0.11396,                 2.0843,                 2.2333,                 1.7974,              0.0094343,              0.0094343,              0.0094343
                     22,                 2.0266,                 2.0813,                  1.605,                0.37464,                0.46497,                0.32073,                0.10967,                 2.1473,                  2.227,                 1.8142,               0.009406,               0.009406,               0.009406
                     23,                  2.037,                 2.0639,                  1.602,                0.36811,                0.36306,                 0.2495,                0.07572,                 2.2428,                 2.5527,                 1.8946,              0.0093777,              0.0093777,              0.0093777
                     24,                 2.0444,                 2.1451,                 1.6135,                0.32152,                0.39236,                0.25303,                0.08993,                 2.1129,                 2.6852,                  1.811,              0.0093494,              0.0093494,              0.0093494
                     25,                 1.9884,                  1.981,                 1.6025,                0.37102,                0.43949,                0.29521,                0.10144,                 2.1683,                 2.2311,                 1.8328,              0.0093211,              0.0093211,              0.0093211
                     26,                 1.9826,                 2.0335,                  1.587,                0.36664,                0.38217,                0.27557,                0.09939,                  2.127,                  2.303,                 1.8071,              0.0092929,              0.0092929,              0.0092929
                     27,                 2.0313,                 2.0358,                 1.5964,                0.34819,                0.28153,                0.22323,                0.07882,                 2.2534,                 2.7702,                 1.9225,              0.0092646,              0.0092646,              0.0092646
                     28,                 1.9937,                 1.9634,                  1.581,                0.38945,                0.30573,                0.24398,                0.08013,                 2.3093,                 2.4338,                  1.944,              0.0092363,              0.0092363,              0.0092363
                     29,                 1.9897,                 1.9642,                  1.565,                0.35812,                0.36815,                 0.2624,                0.09056,                 2.2135,                  2.273,                 1.8904,               0.009208,               0.009208,               0.009208
                     30,                 1.9626,                   1.98,                 1.5693,                0.33887,                0.38001,                0.26602,                0.08903,                 2.2133,                 2.6027,                  1.848,              0.0091797,              0.0091797,              0.0091797
                     31,                 1.9855,                  1.906,                 1.5844,                0.41429,                0.41783,                0.34214,                0.11548,                 2.1875,                 2.1277,                 1.8164,              0.0091514,              0.0091514,              0.0091514
                     32,                 1.9457,                 1.8432,                 1.5128,                0.38006,                0.41274,                0.30497,                0.09815,                 2.2687,                 2.0648,                 1.8662,              0.0091231,              0.0091231,              0.0091231
                     33,                 1.9439,                 1.8658,                 1.5419,                 0.3368,                0.42166,                0.26929,                0.08723,                  2.294,                 2.0563,                 1.8813,              0.0090949,              0.0090949,              0.0090949
                     34,                 1.9165,                 1.8188,                 1.5082,                0.39607,                 0.4051,                0.31172,                0.10815,                 2.2599,                 2.0255,                 1.8969,              0.0090666,              0.0090666,              0.0090666
