                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5222,                 4.4122,                 2.0915,                0.39973,                0.06497,                0.07158,                0.02146,                 3.0274,                 3.1633,                   1.77,                 0.0856,                 0.0016,                 0.0016
                      1,                 2.9947,                 2.6235,                 1.7775,                0.25473,                0.38599,                0.19721,                0.06333,                 2.5906,                 2.4585,                 1.5199,               0.070291,              0.0032907,              0.0032907
                      2,                 2.5298,                 2.0402,                 1.4463,                0.28865,                0.35414,                0.19976,                0.06079,                 2.5184,                 2.2414,                 1.3455,               0.054972,              0.0049717,              0.0049717
                      3,                 2.4916,                 2.0619,                 1.3307,                0.19365,                0.32866,                0.14155,                0.04433,                  2.488,                 2.1374,                 1.3216,               0.039643,              0.0066431,              0.0066431
                      4,                 2.5224,                 1.8957,                 1.3051,                0.23399,                0.34268,                0.15816,                0.04323,                 2.5974,                 4.6892,                 1.3958,               0.024305,               0.008305,               0.008305
                      5,                   2.54,                 1.9594,                 1.3126,                0.30067,                0.37452,                0.22032,                0.07043,                 2.6195,                 2.2178,                 1.4041,              0.0098586,              0.0098586,              0.0098586
                      6,                 2.4606,                 1.8688,                 1.3051,                0.31644,                0.33885,                0.19991,                0.05878,                 2.6018,                 1.9607,                 1.4629,              0.0098586,              0.0098586,              0.0098586
                      7,                 2.5456,                 1.9623,                 1.3646,                0.28586,                0.19108,                0.13361,                0.04394,                 2.6204,                 2.4748,                 1.5879,              0.0098303,              0.0098303,              0.0098303
                      8,                 2.5187,                 2.0051,                 1.3166,                0.28388,                0.43694,                0.21838,                0.06174,                 2.4774,                 2.2439,                  1.373,               0.009802,               0.009802,               0.009802
                      9,                 2.5626,                 2.0671,                 1.2819,                0.25787,                0.36051,                 0.1685,                0.04686,                 2.6185,                 2.1005,                 1.3643,              0.0097737,              0.0097737,              0.0097737
                     10,                  2.645,                 1.9464,                 1.3036,                0.23193,                 0.2828,                0.15116,                 0.0512,                  2.741,                 2.4758,                  1.412,              0.0097454,              0.0097454,              0.0097454
                     11,                 2.4509,                 1.9128,                  1.314,                0.22919,                0.38854,                0.15982,                0.05003,                 2.4455,                 2.0608,                 1.3446,              0.0097171,              0.0097171,              0.0097171
                     12,                  2.465,                 1.9833,                 1.3145,                0.28428,                0.41401,                0.20138,                0.06575,                 2.4838,                 1.8913,                 1.3552,              0.0096889,              0.0096889,              0.0096889
                     13,                 2.4781,                 1.9766,                 1.2912,                0.23845,                0.38089,                0.18792,                0.05534,                 2.5383,                 2.3102,                 1.3947,              0.0096606,              0.0096606,              0.0096606
                     14,                 2.4878,                 1.9203,                 1.2979,                0.22179,                0.37707,                 0.1724,                 0.0531,                 2.5687,                 2.4314,                 1.3579,              0.0096323,              0.0096323,              0.0096323
                     15,                 2.5072,                  1.905,                 1.3766,                0.21184,                 0.2293,                0.10692,                0.03096,                 2.6774,                 2.1969,                 1.5331,               0.009604,               0.009604,               0.009604
                     16,                 2.5028,                 1.8776,                 1.3192,                0.27587,                0.39873,                 0.1796,                0.05201,                 2.5254,                 1.9957,                 1.4193,              0.0095757,              0.0095757,              0.0095757
                     17,                 2.5107,                 1.8662,                 1.2838,                0.21008,                0.44968,                0.14073,                0.04508,                 2.4556,                  2.819,                 1.4314,              0.0095474,              0.0095474,              0.0095474
                     18,                 2.4532,                 1.8422,                 1.3057,                 0.3191,                0.38854,                0.20378,                 0.0606,                 2.5274,                 1.9596,                 1.3797,              0.0095191,              0.0095191,              0.0095191
                     19,                 2.5099,                 1.8445,                 1.2763,                0.23563,                0.33885,                0.16209,                0.04246,                 2.6476,                 2.0292,                  1.444,              0.0094909,              0.0094909,              0.0094909
                     20,                  2.445,                 1.8505,                 1.2743,                 0.3069,                0.38599,                0.21186,                0.06313,                 2.5218,                 1.9712,                 1.3977,              0.0094626,              0.0094626,              0.0094626
                     21,                 2.5042,                  1.885,                 1.2979,                0.29791,                0.36561,                 0.2014,                0.06252,                 2.5411,                 1.9152,                 1.3705,              0.0094343,              0.0094343,              0.0094343
